Statement Parser 2 Failure Analysis [host = bheema, date = 2018-10-16]
Summary
Total Attempts - 25850
SP2 failure - 1229 times
When SP2 failed - SP1 succeeded 311 times, failed 829 times, unknown status (timed out?) 89 times
Nature of SP2 failure - Total: 1229, Unidentified: 901, Unimplemented: 0, Parser Failure: 319, Itemizer Failure: 0, Tabula Failure: 2, Internal Error: 1, Others: 6
Details
Data dir & files	Declared inst_id	SP2 Failure	SP1 Result
60504894 Image Statement	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60504914 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60505244 Image Statement	15	SP2 Parser failure	SP1 succeeded
60507484 Duplicate	22	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT Improper bank statement, does not have running balance.
60509064 Duplicate	44	Unidentified	SP1 possibly timed out
60511884 Duplicate	44	SP2 Parser failure	SP1 succeeded
60513214 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60514394 Duplicate	81	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60514534 Image Statement	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60514574 Duplicate	161	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60515094 Image Statement	8	Unidentified	SP1 succeeded
60515854 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60515894 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60517484 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60519084 Image Statement	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60519124 Statement Password	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60519804 Image Statement	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60519994 Image Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60520094 Image Statement	20	SP2 Parser failure	SP1 succeeded
60520404 Duplicate	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60521664 Image Statement Password	30	Unidentified	SP1 succeeded
60521814 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60522324 Duplicate	20	SP2 Parser failure	SP1 succeeded
60522334 Duplicate	20	SP2 Parser failure	SP1 succeeded
60522424 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60524994 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60525334 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60525454 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60525504 Duplicate	12	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60526214 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60529324 Duplicate	30	Unidentified	SP1 possibly timed out
60537134 Duplicate	32	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60537544 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60540554 Image Statement Password	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60540614 Image Statement Password	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60540624 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60541434 Image Statement	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60542024 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543094 Image Statement	35	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_NO_TRANSACTIONS Looks like the statement does not contain any transactions. Please upload a valid statement
60543444 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543574 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543824 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60545524 Duplicate	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60547054 Image Statement Password	6	Unidentified	SP1 possibly timed out
60551884 Image Statement	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60553104 Image Statement Password	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60394165 Image Statement Password	43	Unidentified	SP1 succeeded
60397335 Image Statement Password	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60397375 Duplicate	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60414605 Statement Password	41	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Invalid xn 2018-08-18,\N,CASH DEPOSIT,5000.05000.00,0
60415655 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60418545 Image Statement	151	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60420155 Image Statement	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60424635 Duplicate	20	Unidentified	SP1 succeeded
60426625 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60431605 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60433115 Duplicate	4	SP2 Parser failure	SP1 succeeded
60435735 Duplicate	20		SP1 succeeded
60436375 Duplicate	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60441515 Image Statement	42	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60446025 Image Statement	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60446965 Duplicate	14	Unidentified	SP1 succeeded
60451515 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60451575 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60452235 Image Statement	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60452365 Duplicate	43	SP2 Parser failure	SP1 possibly timed out
60452705 Duplicate	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60453165 Duplicate	31	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60453265 Image Statement Password	2	SP2 Parser failure	SP1 succeeded
60453325 Image Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60453905 Duplicate	23	Unidentified	SP1 succeeded
60454155 Image Statement Password	4	Unidentified	SP1 succeeded
60455435 Duplicate	172	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60458525 Image Statement Password	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60458905 Duplicate	20	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_NO_TRANSACTIONS There are no transactions in this statement.
60460555 Duplicate	2	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60463185 Duplicate	20	Unidentified	SP1 succeeded
60465035 Duplicate	45	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60469995 Duplicate	20	Unidentified	SP1 succeeded
60470565 Duplicate	20	Unidentified	SP1 succeeded
60475515 Image Statement	42	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT HTML File (from netbanking) converted to PDF and uploaded. Does not support such statement.
60476165 Duplicate	45	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60476765 Duplicate	15	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60477255 Image Statement Password	19	SP2 Parser failure	SP1 succeeded
60480855 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60483355 Image Statement	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60486915 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60489895 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60490955 Duplicate	20	Unidentified	SP1 succeeded
60490965 Duplicate	9	Unidentified	SP1 succeeded
60491435 Image Statement	31	Unidentified	SP1 possibly timed out
60491675 Duplicate	9	Unidentified	SP1 succeeded
60492065 Duplicate	43	SP2 Parser failure	SP1 possibly timed out
60492965 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60496075 Duplicate	81	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order - reverseSort, lastXnDate[2018-09-30] and currXnDate[2018-09-29]
60496585 Image Statement Password	30	Unidentified	SP1 succeeded
60496765 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60496965 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60497635 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60497655 Duplicate	81	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order - reverseSort, lastXnDate[2018-09-30] and currXnDate[2018-09-29]
60497725 Statement Password	4	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60498135 Duplicate	45	Unidentified	SP1 succeeded
60498145 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60498785 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60498895 Duplicate	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60501815 Image Statement	44	Unidentified	SP1 succeeded
60504545 Image Statement	44	Unidentified	SP1 possibly timed out
60505175 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60507755 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60512245 Duplicate	44	SP2 Parser failure	SP1 succeeded
60513805 Image Statement Password	81	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60513925 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60514455 Duplicate	161	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60514555 Duplicate	161	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60515075 Duplicate	8	Unidentified	SP1 succeeded
60515115 Duplicate	8	Unidentified	SP1 succeeded
60515145 Duplicate	8	Unidentified	SP1 succeeded
60517165 Duplicate	9	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60517235 Image Statement Password	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60519095 Image Statement	35	Unidentified	SP1 possibly timed out
60519495 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60519875 Duplicate	8	SP2 Parser failure	SP1 succeeded
60521005 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60522745 Duplicate	9	SP2 Parser failure	SP1 succeeded
60524435 Image Statement	81	Unidentified	SP1 succeeded
60525075 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60525925 Duplicate	8	Unidentified	SP1 possibly timed out
60526355 Image Statement Password	15	SP2 Parser failure	SP1 succeeded
60526435 Duplicate	15	SP2 Parser failure	SP1 succeeded
60526655 Image Statement	16	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60527015 Image Statement Password	50	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date gap more than 10 days, date [2020-04-01] dateGap [533] for xn [2020-04-01,\N,18 B/F... 31.35SALARY A/C REAL TIME HR,0.00,18537.00]
60527565 Duplicate	151	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60527645 Image Statement	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60527825 Duplicate	50	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date gap more than 10 days, date [2020-04-01] dateGap [533] for xn [2020-04-01,\N,18 B/F... 31.35SALARY A/C REAL TIME HR,0.00,18537.00]
60528485 Image Statement	35	SP2 Tabula failure	SP1 succeeded
60528865 Duplicate	24	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60530105 Image Statement Password	2	Unidentified	SP1 succeeded
60530155 Image Statement	24	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60537135 Duplicate	32	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60537195 Image Statement	46	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT We donot support statements of this type.
60538145 Duplicate	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60539345 Image Statement	11	SP2 Parser failure	SP1 succeeded
60539915 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60541315 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543265 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543655 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543945 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60543995 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60544025 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60544155 Image Statement	15	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60544205 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60544305 Image Statement Password	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60544375 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60544395 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60545535 Duplicate	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60546075 Image Statement Password	25	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60550955 Image Statement Password	22	Unidentified	SP1 succeeded
60551825 Duplicate	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60552355 Image Statement Password	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60394176 Image Statement	15	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60407076 Image Statement	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60407266 Image Statement	35	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_NO_TRANSACTIONS Looks like the statement does not contain any transactions. Please upload a valid statement
60408516 Duplicate	52	SP2 Parser failure	SP1 succeeded
60408526 Duplicate	52	SP2 Parser failure	SP1 succeeded
60408956 Image Statement	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60409646 Image Statement	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60412656 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60415106 Duplicate	11	Unidentified	SP1 possibly timed out
60416766 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60417236 Image Statement Password	30	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60419936 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60420176 Duplicate	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60420756 Image Statement	8	SP2 Parser failure	SP1 succeeded
60421736 Image Statement	43	Unidentified	SP1 succeeded
60422606 Duplicate	77	SP2 Parser failure	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT HTML File (from netbanking) converted to PDF and uploaded. Does not support such statement.
60422976 Duplicate	29	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60423466 Duplicate	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60425936 Duplicate	20	Unidentified	SP1 succeeded
60427756 Duplicate	4	SP2 Parser failure	SP1 succeeded
60428236 Image Statement	11	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60428986 Image Statement Password	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60431896 Duplicate	23	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60434206 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60434576 Image Statement	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60434966 Image Statement	15	SP2 Parser failure	SP1 succeeded
60436136 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60436596 Image Statement	35	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_NO_TRANSACTIONS Looks like the statement does not contain any transactions. Please upload a valid statement
60436716 Image Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60442946 Image Statement Password	41	SP2 Parser failure	SP1 succeeded
60446916 Image Statement Password	22	Unidentified	SP1 succeeded
60447596 Duplicate	15	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order, lastXnDate[2018-07-31] currXnDate[2018-07-27] nextXnDate[2018-07-26]
60451056 Duplicate	23	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60452706 Duplicate	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60453256 Duplicate	43	SP2 Parser failure	SP1 possibly timed out
60453626 Image Statement	12	SP2 Parser failure	SP1 succeeded
60456606 Duplicate	31	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60456996 Image Statement Password	20	SP2 Parser failure	SP1 succeeded
60457476 Image Statement	81	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60457876 Duplicate	9	SP2 Parser failure	SP1 succeeded
60458316 Duplicate	20	SP2 Parser failure	SP1 succeeded
60462396 Image Statement	9	Unidentified	SP1 succeeded
60464726 Duplicate	44	Unidentified	SP1 possibly timed out
60472416 Duplicate	20	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_NO_TRANSACTIONS There are no transactions in this statement.
60472676 Image Statement	8	SP2 Parser failure	SP1 succeeded
60473116 Duplicate	9	SP2 Parser failure	SP1 succeeded
60473146 Duplicate	9	SP2 Parser failure	SP1 succeeded
60473806 Statement	44	Unidentified	SP1 possibly timed out
60474896 Image Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60475476 Image Statement	42	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT HTML File (from netbanking) converted to PDF and uploaded. Does not support such statement.
60475496 Image Statement	42	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT HTML File (from netbanking) converted to PDF and uploaded. Does not support such statement.
60475506 Image Statement	248	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_INST This institution is not supported yet.
60475606 Image Statement	42	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT HTML File (from netbanking) converted to PDF and uploaded. Does not support such statement.
60476306 Image Statement Password	24	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60477386 Image Statement	35	SP2 Parser failure	SP1 succeeded
60478606 Image Statement	12	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60478946 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60480296 Image Statement Password	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60480816 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60481246 Image Statement	44	Unidentified	SP1 possibly timed out
60482356 Duplicate	77	Unidentified	SP1 failed with message #ERROR INVALID E_STATEMENT_UNSUPPORTED_FORMAT HTML File (from netbanking) converted to PDF and uploaded. Does not support such statement.
60483826 Duplicate	31	Unidentified	SP1 possibly timed out
60488006 Image Statement Password	4	SP2 Parser failure	SP1 succeeded
60488266 Duplicate	29	Unidentified	SP1 succeeded
60488316 Statement Password	10	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60488336 Image Statement	4	SP2 Parser failure	SP1 succeeded
60489016 Image Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60490916 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60491926 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60492416 Duplicate	9	Unidentified	SP1 succeeded
60493616 Image Statement	192	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60493836 Image Statement Password	12	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60495646 Duplicate	81	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order - reverseSort, lastXnDate[2018-09-30] and currXnDate[2018-09-29]
60496596 Image Statement Password	30	Unidentified	SP1 possibly timed out
60496606 Image Statement Password	30	Unidentified	SP1 succeeded
60496696 Image Statement	30	Unidentified	SP1 possibly timed out
60497526 Duplicate	22	SP2 Parser failure	SP1 succeeded
60497546 Duplicate	22	SP2 Parser failure	SP1 succeeded
60498196 Duplicate	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60498456 Duplicate	6	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60498856 Image Statement	140	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60502406 Duplicate	35	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60502776 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60504126 Duplicate	4	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60504506 Image Statement	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60506216 Duplicate	15	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order, lastXnDate[2018-08-15] currXnDate[2018-08-14] nextXnDate[2018-08-16]
60507366 Image Statement	2	SP2 Parser failure	SP1 succeeded
60507676 Duplicate	8	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60509146 Duplicate	4	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60509266 Image Statement	22	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60509726 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60510816 Image Statement Password	42	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60510836 Duplicate	4	SP2 Parser failure	SP1 succeeded
60511106 Duplicate	12	Unidentified	SP1 succeeded
60511426 Image Statement Password	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60514436 Image Statement	43	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60514586 Duplicate	161	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60515476 Image Statement Password	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60515726 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60515846 Image Statement	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60515856 Duplicate	161	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION This statement is supported by sp2 only.
60516156 Duplicate	24	Unidentified	SP1 succeeded
60516296 Duplicate	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60516546 Duplicate	46	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60517376 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60517446 Duplicate	41	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order, lastXnDate[2018-09-01] currXnDate[2018-08-31] nextXnDate[2018-09-03]
60517456 Duplicate	4	SP2 Parser failure	SP1 succeeded
60519496 Duplicate	15	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date has appeared in desc order, lastXnDate[2018-08-15] currXnDate[2018-08-14] nextXnDate[2018-08-16]
60520106 Image Statement	20	SP2 Parser failure	SP1 succeeded
60521796 Image Statement	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60522896 Image Statement	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60524806 Image Statement	23	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60526716 Duplicate	15	SP2 Parser failure	SP1 succeeded
60527306 Duplicate	44	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60527396 Image Statement	41	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60527866 Duplicate	50	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION Date gap more than 10 days, date [2020-04-01] dateGap [533] for xn [2020-04-01,\N,18 B/F... 31.35SALARY A/C REAL TIME HR,0.00,18537.00]
60527926 Duplicate	20	Unidentified	SP1 succeeded
60528136 Duplicate	8	Unidentified	SP1 possibly timed out
60528266 Image Statement Password	24	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60528326 Image Statement	28	SP2 Parser failure	SP1 succeeded
60528956 Duplicate	24	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60534916 Image Statement	43	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60537026 Image Statement Password	28	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60541676 Duplicate	20	Unidentified	SP1 failed with message #ERROR UNSUPPORTED_VERSION Improper balance []
60541916 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
60542366 Duplicate	43	Unidentified	SP1 possibly timed out
60543546 Duplicate	11	SP2 Parser failure	SP1 failed with message #ERROR UNSUPPORTED_VERSION No xns found
